"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","deferredLongTermLiab","minorityInterest","(ticker)","Beta"
"103","BSX",2023-05-08 16:00:02,"Boston Scientific Corporation",53.58,76370624512,0.58,91.586205,4.3327894,1437330048,"USD","2022-12-31",928000000,NA,1970000000,1867000000,995000000,5760000000,407000000,2832000000,4581000000,32469000000,862000000,20000000,1005000000,8910000000,1831000000,3803000000,14896000000,17000000,-750000000,-1983000000,268000000,17573000000,-1316000000,12920000000,5969000000,3942000000,20289000000,NA,NA,"BSX","0.992058290023836"
"104","BDX",2023-05-08 16:00:01,"Becton, Dickinson and Company",254.19,71429775360,4.84,51.962807,2.819001,283902016,"USD","2022-09-30",1006000000,8000000,2191000000,3224000000,153000000,8141000000,NA,6494000000,1368000000,52934000000,1699000000,2179000000,157000000,13886000000,5571000000,7811000000,27652000000,365000000,15157000000,-9795000000,-1465000000,25280000000,-11651000000,24621000000,12310000000,1178000000,19553000000,NA,NA,"BDX","0.576374316551701"
"105","TGT",2023-05-08 16:03:12,"Target Corporation",156.75,72233041920,5.99,26.126879,6.4141974,461552992,"USD","2023-01-28",2229000000,NA,1695000000,13499000000,235000000,17846000000,7000000,34169000000,668000000,53335000000,13487000000,1000000,3229000000,14147000000,3875000000,19500000000,42103000000,38000000,5005000000,-419000000,-419000000,11232000000,10587000000,631000000,14000000,NA,6608000000,NA,NA,"TGT","0.891132442108953"
"106","LRCX",2023-05-08 16:00:03,"Lam Research Corporation",0,70768967680,35.92,14.665646,8.439577,134340000,"USD","2022-06-26",3522001000,135731000,4313818000,3966294000,NA,12285235000,NA,1874235000,1419199000,17195632000,1011208000,NA,3010990000,4962459000,1189445000,4564759000,10917266000,137000,18454724000,-19591411000,-109982000,6278366000,4661403000,1515113000,101850000,NA,7414916000,NA,NA,"LRCX","1.35856626358236"
"107","EQIX",2023-05-08 16:00:04,"Equinix, Inc.",0,69212102656,8.81,84.00908,5.9578032,93514704,"USD","2022-12-31",1906421000,NA,1115102000,NA,283732000,3305255000,348145000,18077484000,1027992000,30310742000,115953000,9847000,587893000,12752247000,797863000,1838298000,18804910000,93000,NA,-5814144000,-5742178000,11505966000,3954100000,5654217000,1897649000,44628000,17320017000,462337000,-134000,"EQIX","1.02648132189741"
"108","ETN",2023-05-08 16:00:02,"Eaton Corporation, PLC",173.4,67714170880,6.4,26.54375,3.9662862,398512992,"USD","2022-12-31",294000000,261000000,4309000000,3430000000,69000000,8746000000,788000000,3717000000,1482000000,35014000000,3072000000,NA,1894000000,8303000000,2798000000,6360000000,17938000000,4000000,8468000000,-3946000000,-3946000000,17038000000,-3243000000,14796000000,5485000000,330000000,12512000000,NA,38000000,"ETN","1.14681552396182"
"109","AON",2023-05-08 16:03:40,"Aon plc",332.76,67917922304,12.47,26.666399,-972.30994,204246000,"USD","2022-12-31",647500000,379500000,3109000000,NA,16478000000,20723000000,60000000,1300000000,1882000000,32704000000,2114000000,353000000,17061000000,9825000000,2281000000,20306000000,33133000000,2000000,-2772000000,-4623000000,-4623000000,-529000000,-9268000000,8292000000,447000000,824000000,6864000000,185000000,100000000,"AON","0.737792203405907"
"110","CL",2023-05-08 16:00:01,"Colgate-Palmolive Company",80.93,66987614208,1.91,42.27749,-11535.714,829568000,"USD","2022-12-31",775000000,175000000,1504000000,2074000000,585000000,5113000000,NA,4785000000,561000000,15731000000,1551000000,14000000,371000000,8697000000,1783000000,4004000000,14925000000,1466000000,24573000000,-29184000000,-4056000000,401000000,-4871000000,3352000000,1920000000,135000000,3546000000,NA,405000000,"CL","0.55264454450322"
"111","EOG",2023-05-08 16:00:02,"EOG Resources, Inc.",114.83,67218751488,16,7.1475,2.7123308,587782016,"USD","2022-12-31",5972000000,NA,2871000000,1058000000,574000000,10475000000,NA,30275000000,621000000,41371000000,2532000000,1250000000,1402000000,3613000000,6700000000,5513000000,16592000000,206000000,18472000000,-86000000,-8000000,24779000000,24779000000,NA,NA,33000000,6187000000,NA,NA,"EOG","1.22690275299219"
"112","CSX",2023-05-08 16:00:03,"CSX Corporation",0,64813633536,2.04,15.627451,5.258123,2033049984,"USD","2022-12-31",1958000000,129000000,1313000000,341000000,108000000,3849000000,2486000000,34747000000,328000000,41912000000,1130000000,151000000,311000000,17985000000,8314000000,2471000000,29287000000,2066000000,10363000000,186000000,186000000,12615000000,12113000000,319000000,183000000,NA,NA,NA,10000000,"CSX","1.14062026282456"
"113","HUM",2023-05-08 16:03:41,"Humana Inc.",540,66965524480,24.66,21.733984,4.0396767,124945000,"USD","2022-12-31",5061000000,13881000000,3674000000,NA,3567000000,26183000000,1129000000,3736000000,1100000000,43055000000,14350000000,1497000000,286000000,9034000000,1017000000,17178000000,27685000000,33000000,25492000000,-13460000000,-1304000000,15311000000,4404000000,9142000000,1765000000,NA,3246000000,NA,59000000,"HUM","0.817990131009525"
"114","MU",2023-05-08 16:00:04,"Micron Technology, Inc.",0,66615517184,1.4,43.478573,1.4091257,1094390016,"USD","2022-09-01",8262000000,1069000000,5130000000,6663000000,657000000,21781000000,1647000000,39227000000,1979000000,66283000000,2142000000,NA,4357000000,6020000000,1424000000,7539000000,16376000000,123000000,47274000000,-7687000000,-560000000,49907000000,48258000000,1228000000,421000000,702000000,10197000000,NA,NA,"MU","1.56452831020041"
"115","CME",2023-05-08 16:00:03,"CME Group Inc.",0,66796040192,7.89,23.534855,2.4338744,359715008,"USD","2022-12-31",2720100000,96000000,483200000,NA,135779000000,139078300000,2758300000,837600000,574000000,174175700000,121400000,NA,137492000000,3422400000,5735800000,137687500000,147297000000,3600000,4746800000,-133300000,-133300000,26878700000,-4048800000,10482500000,20445000000,NA,22261600000,NA,NA,"CME","1.0808468712214"
"116","APD",2023-05-08 16:00:01,"Air Products and Chemicals, Inc",297.73,65643290624,10.12,29.207508,4.7104383,222083008,"USD","2022-09-30",2711000000,590700000,1941200000,514200000,332300000,6282900000,3434300000,14855200000,1449700000,27192600000,1120700000,548300000,1435900000,7169400000,2255300000,3465800000,13490200000,249400000,16520300000,-4767100000,-2786100000,13144000000,11973500000,823000000,347500000,135700000,1141400000,NA,558400000,"APD","1.0012451328078"
"117","SLB",2023-05-08 16:00:01,"Schlumberger N.V.",46.6,66434633728,2.68,17.39179,3.6770277,1425330048,"USD","2022-12-31",1655000000,1239000000,7032000000,3999000000,1078000000,15003000000,3604000000,7145000000,1268000000,43135000000,3921000000,1632000000,4812000000,10594000000,1995000000,12018000000,25146000000,11837000000,10719000000,-4871000000,-3855000000,17685000000,1570000000,12982000000,3133000000,NA,NA,NA,304000000,"SLB","1.26626393895317"
"118","NOC",2023-05-08 16:00:01,"Northrop Grumman Corporation",442.85,67158126592,30.87,14.325882,4.4396257,151859008,"USD","2022-12-31",2577000000,NA,8344000000,978000000,180000000,12488000000,332000000,10611000000,2424000000,43755000000,2587000000,1072000000,5374000000,11805000000,3227000000,11587000000,28443000000,153000000,15312000000,-153000000,-153000000,15312000000,-2588000000,17516000000,384000000,162000000,NA,306000000,NA,"NOC","0.719600037426811"
"119","ITW",2023-05-08 16:00:02,"Illinois Tool Works Inc.",229.28,69691228160,10,22.863,22.580742,304820992,"USD","2022-12-31",708000000,NA,3273000000,2054000000,235000000,6270000000,NA,2060000000,1460000000,15422000000,594000000,535000000,1017000000,6173000000,1569000000,4460000000,12333000000,6000000,25799000000,-24218000000,-1841000000,3088000000,-2544000000,4864000000,768000000,494000000,1501000000,NA,1000000,"ITW","1.00437069083516"
"120","WM",2023-05-08 16:00:01,"Waste Management, Inc.",169.25,68764278784,5.46,30.957874,10.120951,406816992,"USD","2022-12-31",351000000,NA,2752000000,164000000,284000000,3551000000,578000000,16175000000,913000000,31367000000,1766000000,370000000,726000000,14312000000,5079000000,4394000000,24503000000,6000000,13167000000,-11638000000,-69000000,6849000000,-3301000000,9323000000,827000000,NA,5314000000,NA,15000000,"WM","0.70310235849611"
"121","ICE",2023-05-08 16:00:02,"Intercontinental Exchange Inc.",107.79,60028940288,2.59,41.397686,2.6396515,559867008,"USD","2022-12-31",1799000000,NA,1169000000,NA,153521000000,156947000000,NA,1340000000,1423000000,194338000000,619000000,NA,148119000000,18118000000,4034000000,149171000000,171577000000,6000000,14943000000,-6556000000,-331000000,22706000000,-11922000000,21111000000,13517000000,NA,14313000000,NA,55000000,"ICE","1.20016754644076"
"122","HCA",2023-05-08 16:00:02,"HCA Healthcare, Inc.",277.39,76414222336,19.85,13.993955,-30.72108,275088992,"USD","2022-12-31",908000000,92000000,8903000000,2068000000,1672000000,13643000000,1204000000,27640000000,298000000,52438000000,4239000000,239000000,596000000,37135000000,3143000000,9902000000,52511000000,3000000,-2280000000,-490000000,-490000000,-2767000000,-12420000000,NA,9653000000,NA,NA,NA,2694000000,"HCA","1.02416305363519"
"123","ORLY",2023-05-08 16:00:03,"O'Reilly Automotive, Inc.",0,57781866496,34.9,27.124355,-35.557228,61038900,"USD","2022-12-31",108583000,NA,470174000,4359126000,110376000,5048259000,87371000,6536308000,25377000,12627979000,5881157000,NA,383692000,4371653000,446605000,7063817000,13688731000,624000,-2375860000,2996000,2996000,-1060752000,-1991416000,884445000,46219000,NA,1311488000,2600000,NA,"ORLY","0.772741582272423"
"124","MMM",2023-05-08 16:02:50,"3M Company",102.6,56458108928,9.68,10.572313,3.6905878,551672000,"USD","2022-12-31",3655000000,238000000,4635000000,5372000000,353000000,14688000000,967000000,10007000000,3304000000,46455000000,3183000000,1938000000,2139000000,14001000000,7506000000,9523000000,31685000000,9000000,47950000000,-39928000000,-6673000000,14722000000,-2767000000,12790000000,4699000000,959000000,6691000000,NA,48000000,"MMM","0.838750417410945"
"125","SNPS",2023-05-08 16:00:04,"Synopsys, Inc.",0,56616742912,6.09,61.041046,10.049471,152302000,"USD","2022-10-31",1417608000,147913000,1056589000,211927000,4104000,3012669000,31900000,1042390000,1102448000,9418087000,37580000,NA,1963440000,20824000,482301000,2774499000,3858897000,1524000,5534307000,-1507232000,-234277000,5515725000,1287045000,3842234000,386446000,670653000,1487126000,96509000,43465000,"SNPS","0.890264212866602"
"126","CDNS",2023-05-08 16:00:04,"Cadence Design Systems, Inc.",0,56052924416,3.1,66.30968,19.059805,272684000,"USD","2022-12-31",882325000,4490000,509476000,128005000,69498000,1706767000,119997000,541830000,1039592000,5137071000,NA,NA,NA,648078000,256847000,1347696000,2391958000,2765673000,3895240000,-3915800000,-91637000,2745113000,1016228000,1374268000,354617000,853691000,NA,41700000,NA,"CDNS","1.19345043646662"
"127","CMG",2023-05-08 16:03:15,"Chipotle Mexican Grill, Inc.",2077,56085647360,36.51,55.678993,22.608965,27589800,"USD","2022-12-31",384000000,515136000,154621000,35668000,NA,1175837000,399752000,5253549000,76427000,6927504000,184566000,NA,198298000,NA,142439000,921880000,4559481000,373000,4828248000,-4289902000,-7888000,2368023000,2346084000,21939000,NA,NA,1829304000,NA,NA,"CMG","0.919953967626467"
"128","EW",2023-05-08 16:00:02,"Edwards Lifesciences Corporatio",89.3,53965520896,2.43,36.633743,9.023822,606217984,"USD","2022-12-31",769000000,446300000,699100000,875500000,195900000,3095800000,1239000000,1725100000,783100000,8292500000,201900000,NA,193500000,596300000,797600000,1022400000,2485800000,646300000,7590000000,-4398900000,-254900000,5806700000,4357200000,1164300000,285200000,484000000,1969300000,NA,NA,"EW","0.767312779655505"
"129","SHW",2023-05-08 16:00:01,"Sherwin-Williams Company (The)",234.85,59554537472,8.15,28.33497,18.718489,257890000,"USD","2022-12-31",198800000,NA,2607400000,2626500000,475000000,5907700000,587000000,4073800000,440300000,22594000000,2436500000,600000,666500000,9591000000,2427300000,5960700000,19491900000,91200000,3523200000,-512300000,3263300000,3102100000,-8483100000,7583200000,4002000000,NA,NA,NA,NA,"SHW","0.848339046544114"
"130","ATVI",2023-05-08 16:00:04,"Activision Blizzard, Inc",0,59394314240,2.37,31.87764,2.948408,786120000,"USD","2022-12-31",7060000000,4981000000,1204000000,NA,1224000000,14469000000,NA,403000000,1499000000,27383000000,324000000,NA,2162000000,3611000000,812000000,3555000000,8140000000,NA,13171000000,-6188000000,-625000000,19243000000,8231000000,9929000000,1083000000,1201000000,12260000000,NA,NA,"ATVI","0.833917932927246"
"131","KLAC",2023-05-08 16:00:04,"KLA Corporation",0,52618563584,24.57,15.60928,19.626425,137199008,"USD","2022-06-30",1584908000,1123100000,1926624000,2146889000,278448000,7168911000,NA,976373000,937341000,12597088000,443338000,NA,1524788000,6660718000,1584828000,2871083000,11197998000,142000,366882000,-27471000,-27471000,1401351000,-2113112000,2320049000,1194414000,579173000,1061798000,NA,-2261000,"KLAC","1.25584028422401"
"132","FDX",2023-05-08 16:00:02,"FedEx Corporation",232,57994444800,11.63,19.839209,2.344817,251352000,"USD","2022-05-31",6897000000,NA,11863000000,637000000,NA,20365000000,NA,54704000000,4080000000,85994000000,4030000000,50000000,NA,19746000000,12112000000,14274000000,61055000000,32000000,32782000000,-11587000000,-1103000000,24939000000,18094000000,6544000000,301000000,1207000000,3712000000,NA,NA,"FDX","1.07293120187078"
"133","GIS",2023-05-08 16:00:02,"General Mills, Inc.",90.37,52785504256,4.63,19.410368,5.1667247,587353984,"USD","2022-05-29",569400000,249800000,1874900000,1867300000,314900000,5089800000,513800000,3730600000,377500000,31090100000,3982300000,1673400000,465200000,9134400000,2899100000,8019900000,20302100000,75500000,18532600000,-9248600000,-1970500000,10542400000,-10836000000,14378500000,6999900000,NA,1182900000,NA,245600000,"GIS","0.409977201345259"
"134","FCX",2023-05-08 16:03:05,"Freeport-McMoRan, Inc.",36.79,52401082368,1.82,20.087912,3.2558556,1433250048,"USD","2022-12-31",8146000000,NA,1795000000,5180000000,492000000,15613000000,262000000,32627000000,2175000000,51093000000,2701000000,1037000000,1443000000,9583000000,10000000000,6345000000,26222000000,161000000,-3907000000,-6021000000,-320000000,15555000000,15139000000,NA,416000000,NA,25322000000,NA,9316000000,"FCX","1.66101008770967"
"135","CCI",2023-05-08 16:00:02,"Crown Castle Inc.",117.38,50466295808,3.86,30.14767,6.9921293,433671008,"USD","2022-12-31",156000000,NA,720000000,NA,341000000,1217000000,NA,21933000000,2090000000,38921000000,236000000,819000000,736000000,20664000000,1950000000,2731000000,31472000000,4000000,NA,-10671000000,-10671000000,7449000000,-6232000000,10085000000,3596000000,25000000,18116000000,NA,NA,"CCI","0.930809786996065"
"136","AZO",2023-05-08 16:00:01,"AutoZone, Inc.",2748.12,49849303040,121.93,22.222095,-11.958636,18397700,"USD","2022-08-27",264380000,49768000,504886000,5638004000,170946000,6627984000,62777000,8089236000,192401000,15275043000,7301347000,NA,216668000,6122092000,1048070000,8588393000,18813956000,207000,-1330067000,-3563305000,-300536000,-3538913000,-3841558000,302645000,NA,52047000,1354252000,NA,NA,"AZO","0.679488772675859"
"137","PXD",2023-05-08 16:00:01,"Pioneer Natural Resources Compa",212.19,49633841152,28.29,7.506186,2.2728245,233736000,"USD","2022-12-31",1032000000,172000000,2017000000,424000000,81000000,3726000000,NA,31628000000,143000000,35740000000,2587000000,779000000,337000000,4125000000,4450000000,3887000000,13199000000,2000000,5685000000,-1925000000,NA,22541000000,22298000000,243000000,NA,NA,18779000000,NA,NA,"PXD","1.40616930722778"
"138","MCK",2023-05-08 16:03:55,"McKesson Corporation",387,50470240256,21.77,16.92972,-20.557787,136939008,"USD","2022-03-31",3532000000,NA,18583000000,18702000000,4949000000,46231000000,346000000,3640000000,1251000000,63298000000,38086000000,813000000,4799000000,4931000000,10142000000,48466000000,65090000000,2000000,9030000000,-18579000000,-1534000000,-2272000000,-14102000000,9451000000,2379000000,NA,7275000000,NA,480000000,"MCK","0.763640287834543"
"139","KMB",2023-05-08 16:03:36,"Kimberly-Clark Corporation",147,48832528384,5.84,24.784246,67.921165,337380992,"USD","2022-12-31",427000000,NA,2280000000,2269000000,753000000,5729000000,238000000,8360000000,718000000,17970000000,3813000000,471000000,1307000000,7787000000,1723000000,7334000000,17270000000,473000000,8201000000,-8806000000,-3669000000,547000000,-2378000000,2074000000,851000000,NA,679000000,NA,153000000,"KMB","0.503426566367576"
"140","DG",2023-05-08 16:03:30,"Dollar General Corporation",222,48203759616,10.68,20.59925,8.698059,219108000,"USD","2023-02-03",381576000,NA,135775000,6760733000,NA,7581009000,NA,15906323000,57746000,29083367000,3552991000,NA,NA,7009399000,1281667000,5887768000,23541595000,191718000,1656140000,43000,43000,5541772000,3483000,4338589000,1199700000,NA,3693871000,NA,NA,"DG","0.576361912626197"
"141","SRE",2023-05-08 16:03:29,"DBA Sempra",156.7,48748879872,7.76,19.965204,1.8549602,314649984,"USD","2022-12-31",370000000,NA,3497000000,403000000,1374000000,5912000000,15710000000,48437000000,6569000000,78574000000,1994000000,1067000000,2892000000,23563000000,14042000000,9899000000,49318000000,12160000000,14201000000,-135000000,-135000000,26226000000,24280000000,1602000000,344000000,135000000,NA,2588000000,2141000000,"SRE","0.752363501370072"
"142","MPC",2023-05-08 16:00:02,"Marathon Petroleum Corporation",109.06,46745300992,32.58,3.3367095,1.7807882,430000000,"USD","2022-12-31",8625000000,3145000000,13477000000,8827000000,1168000000,35242000000,6466000000,36871000000,3081000000,89904000000,15312000000,987000000,2307000000,25183000000,8322000000,20020000000,54817000000,10000000,26142000000,-31839000000,2000000,27715000000,19471000000,8244000000,NA,1000000,33402000000,NA,7372000000,"MPC","1.34785617269821"
"143","ROP",2023-05-08 16:03:31,"Roper Technologies, Inc.",733.32,48845783040,9.67,47.388832,2.9824858,106592000,"USD","2022-12-31",792800000,NA,877000000,111300000,151300000,1932400000,535000000,281400000,171300000,26980800000,122600000,699200000,1555200000,5962500000,1923800000,2892500000,10943000000,1100000,13730700000,-204200000,-187000000,16037800000,-8022900000,15946100000,8114600000,55900000,2510200000,31700000,NA,"ROP","1.03844281436972"
"144","EMR",2023-05-08 16:03:14,"Emerson Electric Company",84.07,47897415680,4.26,19.673708,4.782311,571400000,"USD","2022-09-30",1804000000,NA,3979000000,2191000000,532000000,8506000000,NA,3850000000,1930000000,35672000000,2028000000,516000000,1080000000,8259000000,2972000000,7777000000,19356000000,477000000,28053000000,-18223000000,-1485000000,10364000000,-11022000000,14662000000,6724000000,99000000,57000000,NA,5952000000,"EMR","1.12111247101054"
"145","MCO",2023-05-08 16:03:32,"Moody's Corporation",311.07,56139988992,7.49,40.846462,19.418598,183500000,"USD","2022-12-31",1769000000,90000000,1652000000,NA,229000000,4094000000,604000000,848000000,754000000,14349000000,52000000,NA,1666000000,7628000000,1289000000,2375000000,11660000000,3000000,13618000000,-12156000000,-643000000,2519000000,-5530000000,5839000000,2210000000,266000000,1054000000,171000000,170000000,"MCO","1.2874580139734"
"146","GD",2023-05-08 16:00:02,"General Dynamics Corporation",210.99,58137210880,12.22,17.243044,3.0230992,274336000,"USD","2022-12-31",1242000000,NA,11803000000,6322000000,1696000000,21063000000,NA,7390000000,974000000,51585000000,3398000000,1253000000,9033000000,9243000000,7103000000,15341000000,33017000000,482000000,37403000000,-22873000000,-2152000000,18568000000,-3590000000,20334000000,1824000000,39000000,3556000000,NA,NA,"GD","0.830738187101431"
"147","NSC",2023-05-08 16:03:32,"Norfolk Southern Corporation",211.27,47512850432,12.98,15.953775,3.703876,227640000,"USD","2022-12-31",456000000,NA,1148000000,253000000,150000000,2007000000,2942000000,32563000000,1373000000,38885000000,1293000000,603000000,382000000,14897000000,8174000000,2649000000,26152000000,230000000,10697000000,-351000000,-351000000,12733000000,12733000000,NA,NA,NA,2157000000,NA,NA,"NSC","1.06922467061784"
"148","MAR",2023-05-08 16:00:04,"Marriott International",0,53981839360,8.44,21.084124,97.2936,303353984,"USD","2022-12-31",507000000,NA,2571000000,NA,NA,3313000000,335000000,2572000000,976000000,24815000000,746000000,676000000,3346000000,9249000000,6494000000,7339000000,24247000000,5000000,12342000000,-17744000000,-729000000,568000000,-17051000000,8872000000,8747000000,240000000,5965000000,NA,NA,"MAR","1.1917981972598"
"149","AEP",2023-05-08 16:00:04,"American Electric Power Company",0,47432843264,3.85,23.932468,1.9816332,514791008,"USD","2022-12-31",509400000,187500000,2669700000,1302100000,4579700000,9418700000,1276700000,71927900000,10793600000,93469400000,2613000000,1996400000,5338800000,33626200000,20433100000,14567400000,69347000000,3413100000,12345600000,83700000,83700000,23893400000,23840900000,52500000,NA,NA,8051000000,5909400000,229000000,"AEP","0.602759707671432"
"150","EL",2023-05-08 16:00:02,"Estee Lauder Companies, Inc. (T",205.9,73630646272,3.03,67.9901,13.158533,231871008,"USD","2022-06-30",3957000000,NA,1629000000,2920000000,191000000,9298000000,NA,4599000000,1064000000,20910000000,1822000000,373000000,669000000,5134000000,1651000000,5815000000,14478000000,6000000,13912000000,-14124000000,-762000000,5590000000,-359000000,2521000000,3428000000,695000000,5796000000,NA,842000000,"EL","0.93802285222135"
"151","F",2023-05-08 16:03:05,"Ford Motor Company",12.03,48089255936,-0.5,NA,1.1080384,3929920000,"USD","2022-12-31",14741000000,17443000000,4575000000,14080000000,2624000000,116476000000,2678000000,37983000000,25284000000,255884000000,24507000000,285000000,17213000000,18712000000,25024000000,96866000000,212717000000,42000000,31754000000,-11386000000,-9339000000,43242000000,43242000000,NA,NA,15394000000,22832000000,NA,-75000000,"F","1.24141866727991"
"152","MSI",2023-05-08 16:03:21,"Motorola Solutions, Inc.",288.26,47782572032,8,35.6125,411.11108,167250000,"USD","2022-12-31",1325000000,NA,2539000000,1055000000,336000000,5255000000,78000000,1412000000,1415000000,12814000000,1207000000,NA,2374000000,6013000000,1691000000,4560000000,12683000000,2000000,1343000000,-2535000000,-2535000000,116000000,-4538000000,3312000000,1342000000,1036000000,1306000000,130000000,15000000,"MSI","1.03418163112761"
"153","D",2023-05-08 16:03:31,"Dominion Energy, Inc.",56.55,47191683072,1.08,52.31481,1.8077108,835251008,"USD","2022-12-31",153000000,NA,3357000000,1729000000,3614000000,9850000000,4204000000,63875000000,18151000000,104243000000,1825000000,3365000000,3528000000,39117000000,23177000000,13450000000,76362000000,23605000000,4065000000,-1572000000,-1572000000,26098000000,17935000000,7295000000,868000000,NA,NA,9087000000,NA,"D","0.611139831689551"
"154","PNC",2023-05-08 16:00:01,"PNC Financial Services Group, I",117.5,46758793216,14.6,8.013013,0.95178044,399681984,"USD","2022-12-31",6446000000,420000000,NA,34000000,3233000000,13630000000,147771000000,1857000000,379595000000,557263000000,436282000000,NA,200000000,58713000000,3194000000,447812000000,511451000000,2714000000,53572000000,-28888000000,-10172000000,40028000000,29041000000,10987000000,3423000000,NA,12630000000,NA,38000000,"PNC","1.32563045886183"
"155","PSA",2023-05-08 16:00:01,"Public Storage",297.88,52420747264,23.52,12.642007,9.105219,175812000,"USD","2022-12-31",775253000,NA,NA,NA,29904000,805157000,275752000,16037963000,200918000,17552307000,NA,8270000,NA,6862556000,NA,522950000,7385506000,17527000,-110231000,-80317000,-80317000,5723402000,5490885000,165843000,66674000,NA,5896423000,NA,93399000,"PSA","1.02339895028425"
"156","DXCM",2023-05-08 16:00:03,"DexCom, Inc.",0,46586093568,0.74,162.40541,20.860962,387636000,"USD","2022-12-31",642300000,1813900000,752200000,374500000,37000000,3668800000,19000000,1135600000,369300000,5391700000,237900000,772600000,67700000,1197700000,68700000,1839300000,3259900000,400000,479900000,-606600000,-11600000,2131800000,1932800000,25700000,173300000,341200000,2258100000,NA,NA,"DXCM","1.18423034735957"
"157","GM",2023-05-08 16:00:02,"General Motors Company",33.63,46791438336,6.63,5.076923,0.6743869,1390119936,"USD","2022-12-31",15153000000,12150000000,13333000000,15366000000,4650000000,100451000000,8511000000,46348000000,26197000000,264037000000,27486000000,NA,5530000000,15504000000,23692000000,91173000000,191753000000,14000000,49251000000,-7901000000,-7901000000,67792000000,62847000000,NA,3604000000,20539000000,26428000000,NA,4492000000,"GM","1.25272824329577"
"158","BIIB",2023-05-08 16:00:04,"Biogen Inc.",0,45502541824,21.98,14.302547,3.2994332,144742000,"USD","2022-12-31",3419300000,1473500000,2935200000,1344400000,618800000,9791200000,1808400000,3702500000,1652900000,24554100000,491500000,NA,1187500000,6281000000,1278900000,3272800000,11165700000,100000,16466500000,-3142000000,-164900000,13397900000,5798800000,5749000000,1850100000,1226400000,73300000,NA,-9500000,"BIIB","0.837179553280609"
"159","MNST",2023-05-08 16:00:04,"Monster Beverage Corporation",0,61792448512,1.14,51.789474,8.779182,1044819968,"USD","2022-12-31",1307141000,1362314000,1015238000,935631000,34750000,4764897000,61443000,554909000,273505000,8293105000,444265000,NA,61326000,NA,236459000,1001978000,1268064000,3209000,9001173000,-6759354000,-159073000,7025041000,4386690000,1417941000,1220410000,177039000,4780013000,NA,NA,"MNST","0.884530058554392"
"160","AJG",2023-05-08 16:03:28,"Arthur J. Gallagher & Co.",218.22,46131449856,5.39,39.948055,4.6987453,214246000,"USD","2022-12-31",342300000,NA,17528700000,NA,4766400000,22834600000,56600000,922900000,2232200000,38907800000,18698200000,310000000,565200000,5562800000,1966400000,21888000000,29717600000,211900000,3562200000,-1140400000,-1140400000,9143600000,-3717900000,9489400000,3372100000,1299000000,6509900000,NA,46600000,"AJG","0.719989449987739"
"161","MRNA",2023-05-08 16:00:04,"Moderna, Inc.",0,50813079552,21.19,6.2175555,2.6525066,385678016,"USD","2022-12-31",3205000000,6697000000,1664000000,1168000000,481000000,13431000000,8360000000,2139000000,1928000000,25858000000,487000000,NA,2407000000,NA,808000000,4923000000,6735000000,NA,18320000000,-370000000,-370000000,19123000000,19123000000,NA,NA,982000000,1173000000,NA,NA,"MRNA","0.611328668779052"
"162","APH",2023-05-08 16:00:01,"Amphenol Corporation",75.37,44857282560,3.09,24.385113,6.137993,595318976,"USD","2022-12-31",1373100000,61100000,2631300000,2093600000,NA,6479100000,NA,1493800000,173100000,15326200000,1309100000,2700000,294400000,4575000000,772500000,2676100000,8232100000,600000,4979400000,-614800000,-535000000,7015600000,-164600000,6446100000,734100000,86900000,2650400000,NA,78500000,"APH","1.12777765466108"
"163","OXY",2023-05-08 16:00:01,"Occidental Petroleum Corporatio",59.06,52952858624,12.4,4.754839,2.6105824,898115008,"USD","2022-12-31",984000000,NA,4561000000,2059000000,1282000000,8886000000,3176000000,59287000000,1260000000,72609000000,4029000000,22000000,512000000,19124000000,14440000000,7757000000,42524000000,220000000,16499000000,-13577000000,195000000,20323000000,20323000000,NA,NA,30000000,17181000000,NA,NA,"OXY","1.35538705404291"
"164","PSX",2023-05-08 16:00:02,"Phillips 66",94.04,43127640064,26.18,3.5889993,1.4840554,459000000,"USD","2022-12-31",6133000000,NA,10985000000,3276000000,221000000,21922000000,14621000000,36158000000,1424000000,76442000000,11323000000,6000000,1706000000,16427000000,9041000000,15889000000,42336000000,7000000,25432000000,-15736000000,-460000000,29494000000,27177000000,1486000000,831000000,NA,19791000000,NA,4612000000,"PSX","1.11691854986806"
"165","NXPI",2023-05-08 16:00:04,"NXP Semiconductors N.V.",0,43649814528,10.38,16.189789,5.853565,259743008,"USD","2022-12-31",3845000000,NA,1008000000,1782000000,300000000,6935000000,9000000,2690000000,2348000000,23236000000,1617000000,NA,1131000000,11165000000,838000000,3270000000,15496000000,56000000,-3975000000,-2723000000,76000000,7449000000,-3805000000,9943000000,1311000000,716000000,14091000000,NA,291000000,"NXPI","1.52320032606893"
